Index,Sample Name,Sample Type,Component Name,Component Type,IS Name,Component Group Name,Actual Concentration,Expected RT,Area,IS Area,Retention Time,Retention Time Delta (min),Used,Calculated Concentration,Accuracy,Precursor Mass,Accuracy Acceptance  ,Concentration Acceptance  ,Reportable
24,38U,Unknown,CYSTINE_pos_2,Quantifiers,(No IS),,N/A,1.77,3.59E+05,N/A,1.75,0.02,TRUE,<2 points,N/A,241,,,TRUE
25,38U,Unknown,ALANINE_pos_1,Quantifiers,(No IS),,N/A,1.76,7.75E+05,N/A,1.75,0.01,TRUE,<2 points,N/A,89.9,,,TRUE
26,38U,Unknown,TRYPTOPHAN_pos_1,Quantifiers,(No IS),,N/A,8.97,2.91E+04,N/A,8.92,0.05,TRUE,<2 points,N/A,205,,,TRUE
27,38U,Unknown,PROLINE_pos_1,Quantifiers,(No IS),,N/A,1.94,2.96E+06,N/A,2.07,0.13,TRUE,<2 points,N/A,116.1,,,TRUE
28,38U,Unknown,THYMINE_pos_1,Quantifiers,(No IS),,N/A,1.74,2.76E+05,N/A,1.74,0,TRUE,<2 points,N/A,127.1,,,TRUE
29,38U,Unknown,URIDINE_pos_1,Quantifiers,(No IS),,N/A,1.74,3.35E+05,N/A,1.73,0.01,TRUE,<2 points,N/A,245,,,TRUE
30,38U,Unknown,CARNOSINE_pos_1,Quantifiers,(No IS),,N/A,1.76,1.36E+06,N/A,1.74,0.02,TRUE,<2 points,N/A,227.1,,,TRUE
31,38U,Unknown,NICOTINAMIDE_pos_1,Quantifiers,(No IS),,N/A,2.46,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,123,,,TRUE
32,38U,Unknown,PHENYLALANINE_pos_1,Quantifiers,(No IS),,N/A,4.4,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,166.1,,,TRUE
33,38U,Unknown,URACIL_pos_2,Quantifiers,(No IS),,N/A,1.8,1.64E+04,N/A,1.77,0.03,TRUE,<2 points,N/A,113,,,TRUE
34,38U,Unknown,ASPARTATE_pos_3,Quantifiers,(No IS),,N/A,1.89,2.89E+05,N/A,2.09,0.2,TRUE,<2 points,N/A,134,,,TRUE
35,38U,Unknown,DEOXYCYTIDINE MONOPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,13.97,2.67E+03,N/A,14.03,0.06,TRUE,<2 points,N/A,308,,,TRUE
36,38U,Unknown,HYPOXANTHINE_pos_1,Quantifiers,(No IS),,N/A,2.59,1.13E+07,N/A,2.53,0.06,TRUE,<2 points,N/A,137,,,TRUE
37,38U,Unknown,CREATINE_pos_1,Quantifiers,(No IS),,N/A,1.9,1.62E+07,N/A,2.07,0.17,TRUE,<2 points,N/A,132.1,,,TRUE
38,38U,Unknown,GUANOSINE_pos_1,Quantifiers,(No IS),,N/A,4.15,3.45E+04,N/A,4.26,0.11,TRUE,<2 points,N/A,284,,,TRUE
39,38U,Unknown,LYSINE_pos_4,Quantifiers,(No IS),,N/A,2.31,1.01E+06,N/A,2.45,0.14,TRUE,<2 points,N/A,147,,,TRUE
40,38U,Unknown,TYROSINE_pos_1,Quantifiers,(No IS),,N/A,2.76,3.14E+07,N/A,2.46,0.3,TRUE,<2 points,N/A,182,,,TRUE
41,38U,Unknown,ASPARAGINE_pos_2,Quantifiers,(No IS),,N/A,2.29,1.55E+06,N/A,2.29,0,TRUE,<2 points,N/A,133.1,,,TRUE
42,38U,Unknown,VALINE_pos_2,Quantifiers,(No IS),,N/A,1.99,3.74E+06,N/A,2.08,0.09,TRUE,<2 points,N/A,118.1,,,TRUE
43,38U,Unknown,GUANINE_pos_3,Quantifiers,(No IS),,N/A,2.42,3.49E+07,N/A,2.44,0.02,TRUE,<2 points,N/A,152,,,TRUE
44,38U,Unknown,HOMOSERINE_pos_1,Quantifiers,(No IS),,N/A,1.77,6.48E+05,N/A,1.75,0.02,TRUE,<2 points,N/A,120,,,TRUE
45,38U,Unknown,PYRIDOXINE_pos_1,Quantifiers,(No IS),,N/A,2.6,2.14E+04,N/A,2.57,0.03,TRUE,<2 points,N/A,170,,,TRUE
46,38U,Unknown,DEOXYADENOSINE MONOPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,1.85,6.48E+04,N/A,1.92,0.07,TRUE,<2 points,N/A,332.1,,,TRUE
47,38U,Unknown,NICOTINAMIDE MONONUCLEOTIDE_pos_1,Quantifiers,(No IS),,N/A,14.6,2.53E+03,N/A,14.17,0.43,TRUE,<2 points,N/A,335.052,,,TRUE
48,38U,Unknown,FOLATE_pos_1,Quantifiers,(No IS),,N/A,10.14,2.08E+03,N/A,10.33,0.19,TRUE,<2 points,N/A,442.133,,,TRUE
49,38U,Unknown,3-AMINOISOBUTANOIC ACID_pos_1,Quantifiers,(No IS),,N/A,2.64,2.02E+06,N/A,2.84,0.2,TRUE,<2 points,N/A,104.056,,,TRUE
50,38U,Unknown,2-PHOSPHOGLYCERATE_pos_4,Quantifiers,(No IS),,N/A,2.27,2.06E+05,N/A,2.18,0.09,TRUE,<2 points,N/A,187.086,,,TRUE
51,38U,Unknown,CREATININE_pos_5,Quantifiers,(No IS),,N/A,1.88,1.84E+09,N/A,1.96,0.08,TRUE,<2 points,N/A,114.1,,,TRUE
52,38U,Unknown,AMINOADIPATE_pos_1,Quantifiers,(No IS),,N/A,1.83,2.82E+06,N/A,2.08,0.25,TRUE,<2 points,N/A,162,,,TRUE
53,38U,Unknown,GLUCOSAMINE 6-PHOSPHATE_pos_4,Quantifiers,(No IS),,N/A,12.43,1.16E+04,N/A,12.23,0.2,TRUE,<2 points,N/A,260.031,,,TRUE
54,38U,Unknown,HOMOCYSTEINE_pos_2,Quantifiers,(No IS),,N/A,4.04,1.46E+04,N/A,4.12,0.08,TRUE,<2 points,N/A,136.013,,,TRUE
55,38U,Unknown,LEUCINE_pos_1,Quantifiers,(No IS),,N/A,2.3,2.94E+07,N/A,2.3,0,TRUE,<2 points,N/A,132.104,,,TRUE
56,38U,Unknown,BETAINE_pos_2,Quantifiers,(No IS),,N/A,2.16,4.44E+07,N/A,2.19,0.03,TRUE,<2 points,N/A,118.1,,,TRUE
57,38U,Unknown,ALLANTOIN_pos_2,Quantifiers,(No IS),,N/A,1.95,4.06E+06,N/A,1.78,0.17,TRUE,<2 points,N/A,159.04,,,TRUE
58,38U,Unknown,GLUCOSAMINE_pos_6,Quantifiers,(No IS),,N/A,8.75,1.38E+07,N/A,8.75,0,TRUE,<2 points,N/A,180.04,,,TRUE
59,38U,Unknown,ADP_pos_1,Quantifiers,(No IS),,N/A,3.16,3.81E+03,N/A,3.03,0.13,TRUE,<2 points,N/A,428.018,,,TRUE
60,38U,Unknown,1-METHYL-L-HISTIDINE_pos_4,Quantifiers,(No IS),,N/A,1.81,3.33E+07,N/A,1.75,0.06,TRUE,<2 points,N/A,170,,,TRUE
61,38U,Unknown,4-PYRIDOXATE_pos_1,Quantifiers,(No IS),,N/A,4.37,1.64E+07,N/A,4.33,0.04,TRUE,<2 points,N/A,184.01,,,TRUE
62,38U,Unknown,1-METHYLADENOSINE_pos_1,Quantifiers,(No IS),,N/A,2.67,6.10E+07,N/A,2.47,0.2,TRUE,<2 points,N/A,282,,,TRUE
63,38U,Unknown,PYROGLUTAMIC ACID_pos_2,Quantifiers,(No IS),,N/A,9.58,4.29E+04,N/A,9.82,0.24,TRUE,<2 points,N/A,130.046,,,TRUE
64,38U,Unknown,DOPAMINE_pos_4,Quantifiers,(No IS),,N/A,5.09,4.11E+06,N/A,4.96,0.13,TRUE,<2 points,N/A,154.1,,,TRUE
65,38U,Unknown,PUTRESCINE_pos_1,Quantifiers,(No IS),,N/A,1.56,3.33E+05,N/A,1.4,0.16,TRUE,<2 points,N/A,89,,,TRUE
66,38U,Unknown,CITICOLINE_pos_2,Quantifiers,(No IS),,N/A,2.46,1.16E+03,N/A,2.46,0,TRUE,<2 points,N/A,489.079,,,TRUE
67,38U,Unknown,PHOSPHOSERINE_pos_3,Quantifiers,(No IS),,N/A,9.88,6.43E+04,N/A,9.67,0.21,TRUE,<2 points,N/A,186.029,,,TRUE
68,38U,Unknown,CYSTATHIONINE_pos_1,Quantifiers,(No IS),,N/A,11.54,3.30E+03,N/A,11.65,0.11,TRUE,<2 points,N/A,223.044,,,TRUE
69,38U,Unknown,ETHANOLAMINE_pos_3,Quantifiers,(No IS),,N/A,1.81,6.75E+05,N/A,1.75,0.06,TRUE,<2 points,N/A,62,,,TRUE
70,38U,Unknown,ARGININE_pos_1,Quantifiers,(No IS),,N/A,1.75,7.03E+06,N/A,1.73,0.02,TRUE,<2 points,N/A,175.1,,,TRUE
71,38U,Unknown,TRANS-4-HYDROXY-L-PROLINE_pos_2,Quantifiers,(No IS),,N/A,1.8,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,132.091,,,TRUE
72,38U,Unknown,XANTHOSINE_pos_1,Quantifiers,(No IS),,N/A,5.58,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,285.045,,,TRUE
73,38U,Unknown,CYTIDINE MONOPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,1.93,1.28E+03,N/A,2.38,0.45,TRUE,<2 points,N/A,324.033,,,TRUE
74,38U,Unknown,HISTIDINE_pos_1,Quantifiers,(No IS),,N/A,1.75,1.81E+08,N/A,1.73,0.02,TRUE,<2 points,N/A,156,,,TRUE
75,38U,Unknown,PIPECOLATE_pos_3,Quantifiers,(No IS),,N/A,2.25,5.18E+05,N/A,2.04,0.21,TRUE,<2 points,N/A,130.1,,,TRUE
76,38U,Unknown,NADP_pos_1,Quantifiers,(No IS),,N/A,14.55,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,744.144,,,TRUE
77,38U,Unknown,GTP_pos_pos_2,Quantifiers,(No IS),,N/A,1.78,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,524,,,TRUE
78,38U,Unknown,dGTP_pos_1,Quantifiers,(No IS),,N/A,1.85,7.74E+02,N/A,1.92,0.07,TRUE,<2 points,N/A,508.051,,,TRUE
79,38U,Unknown,IDP_pos_2,Quantifiers,(No IS),,N/A,2.07,1.55E+03,N/A,2.04,0.03,TRUE,<2 points,N/A,429.027,,,TRUE
80,38U,Unknown,2-DEOXYGUANOSINE 5'-MONOPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,1.86,1.13E+04,N/A,2.11,0.25,TRUE,<2 points,N/A,348.1,,,TRUE
81,38U,Unknown,S-ADENOSYLMETHIONINE_pos_1,Quantifiers,(No IS),,N/A,1.82,2.03E+06,N/A,2.04,0.22,TRUE,<2 points,N/A,399.2,,,TRUE
82,38U,Unknown,6-PHOSPHOGLUCONATE_pos_3,Quantifiers,(No IS),,N/A,14.37,3.24E+03,N/A,14.36,0.01,TRUE,<2 points,N/A,277,,,TRUE
83,38U,Unknown,ADENOSINE MONOPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,2.21,4.33E+04,N/A,2.35,0.14,TRUE,<2 points,N/A,348.048,,,TRUE
84,38U,Unknown,DEOXYURIDINE TRIPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,1.65,1.02E+04,N/A,1.69,0.04,TRUE,<2 points,N/A,468.921,,,TRUE
85,38U,Unknown,PHOSPHORYLCHOLINE_pos_1,Quantifiers,(No IS),,N/A,2.14,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,184,,,TRUE
86,38U,Unknown,THIAMINE_pos_2,Quantifiers,(No IS),,N/A,1.88,7.23E+04,N/A,2.09,0.21,TRUE,<2 points,N/A,266.1,,,TRUE
87,38U,Unknown,dGDP_pos_1,Quantifiers,(No IS),,N/A,1.85,3.53E+04,N/A,1.91,0.06,TRUE,<2 points,N/A,428,,,TRUE
88,38U,Unknown,PHOSPHOENOLPYRUVATE_pos_2,Quantifiers,(No IS),,N/A,2.43,5.97E+05,N/A,2.4,0.03,TRUE,<2 points,N/A,169,,,TRUE
89,38U,Unknown,DIHYDROXYACETONE PHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,13.56,7.53E+04,N/A,13.31,0.25,TRUE,<2 points,N/A,171.1,,,TRUE
90,38U,Unknown,L-CARNITINE_pos_1,Quantifiers,(No IS),,N/A,2.03,1.11E+08,N/A,2.04,0.01,TRUE,<2 points,N/A,162.1,,,TRUE
91,38U,Unknown,O-ACETYLSERINE_pos_3,Quantifiers,(No IS),,N/A,19.62,1.07E+06,N/A,19.63,0.01,TRUE,<2 points,N/A,148.1,,,TRUE
92,38U,Unknown,5-THYMIDYLIC ACID_pos_1,Quantifiers,(No IS),,N/A,1.66,8.42E+04,N/A,1.7,0.04,TRUE,<2 points,N/A,323,,,TRUE
93,38U,Unknown,CYCLIC AMP_pos_1,Quantifiers,(No IS),,N/A,2.72,2.55E+05,N/A,2.61,0.11,TRUE,<2 points,N/A,330.1,,,TRUE
94,38U,Unknown,ADP-GLUCOSE_pos_1,Quantifiers,(No IS),,N/A,1.94,1.54E+03,N/A,2.2,0.26,TRUE,<2 points,N/A,590.1,,,TRUE
95,38U,Unknown,N-ALPHA-ACETYLLYSINE_pos_2,Quantifiers,(No IS),,N/A,1.53,5.77E+06,N/A,1.49,0.04,TRUE,<2 points,N/A,189.1,,,TRUE
96,38U,Unknown,PYRIDOXAMINE_pos_1,Quantifiers,(No IS),,N/A,9.44,4.72E+03,N/A,9.46,0.02,TRUE,<2 points,N/A,169.1,,,TRUE
97,38U,Unknown,ADENOSINE TRIPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,13.8,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,508,,,TRUE
98,38U,Unknown,XANTHYLIC ACID_pos_2,Quantifiers,(No IS),,N/A,1.73,1.48E+04,N/A,1.77,0.04,TRUE,<2 points,N/A,365,,,TRUE
99,38U,Unknown,FAD_pos_1,Quantifiers,(No IS),,N/A,10.1,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,786.2,,,TRUE
100,38U,Unknown,DEOXYGUANOSINE_pos_1,Quantifiers,(No IS),,N/A,1.85,6.95E+04,N/A,1.83,0.02,TRUE,<2 points,N/A,268.1,,,TRUE
101,38U,Unknown,1-METHYLNICOTINAMIDE_pos_1,Quantifiers,(No IS),,N/A,2.7,9.63E+05,N/A,2.75,0.05,TRUE,<2 points,N/A,138.1,,,TRUE
102,38U,Unknown,SPERMINE_pos_2,Quantifiers,(No IS),,N/A,1.6,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,203.1,,,TRUE
103,38U,Unknown,AICAR_pos_1,Quantifiers,(No IS),,N/A,3.35,5.73E+03,N/A,3.43,0.08,TRUE,<2 points,N/A,339.1,,,TRUE
104,38U,Unknown,S-ADENOSYLHOMOCYSTEINE_pos_1,Quantifiers,(No IS),,N/A,3.07,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,385.1,,,TRUE
105,38U,Unknown,L-ORNITHINE_pos_1,Quantifiers,(No IS),,N/A,2.5,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,133.1,,,TRUE
106,38U,Unknown,NORMETANEPHRINE_pos_1,Quantifiers,(No IS),,N/A,0.87,3.65E+04,N/A,0.92,0.05,TRUE,<2 points,N/A,184.1,,,TRUE
107,38U,Unknown,GUANOSINE DIPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,1.85,6.04E+03,N/A,1.84,0.01,TRUE,<2 points,N/A,444.1,,,TRUE
108,38U,Unknown,CDP_pos_1,Quantifiers,(No IS),,N/A,14.14,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,404,,,TRUE
109,38U,Unknown,THIAMINE MONOPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,2.26,1.02E+04,N/A,2.39,0.13,TRUE,<2 points,N/A,345,,,TRUE
110,38U,Unknown,GUANOSINE MONOPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,2.28,2.18E+03,N/A,2.24,0.04,TRUE,<2 points,N/A,364.029,,,TRUE
111,38U,Unknown,N-ACETYLALANINE_pos_2,Quantifiers,(No IS),,N/A,2.65,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,132.1,,,TRUE
112,38U,Unknown,L-ACETYLCARNITINE_pos_1,Quantifiers,(No IS),,N/A,3.43,1.69E+08,N/A,3.1,0.33,TRUE,<2 points,N/A,204,,,TRUE
113,38U,Unknown,RIBOFLAVIN_pos_1,Quantifiers,(No IS),,N/A,10.8,1.11E+05,N/A,10.77,0.03,TRUE,<2 points,N/A,377.1,,,TRUE
114,38U,Unknown,GLUTATHIONE REDUCED_pos_1,Quantifiers,(No IS),,N/A,2.17,2.84E+04,N/A,2.23,0.06,TRUE,<2 points,N/A,308.1,,,TRUE
115,38U,Unknown,URIDINE TRIPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,1.69,9.69E+03,N/A,1.8,0.11,TRUE,<2 points,N/A,485,,,TRUE
116,38U,Unknown,DEOXYADENOSINE_pos_1,Quantifiers,(No IS),,N/A,1.89,1.30E+05,N/A,2,0.11,TRUE,<2 points,N/A,251.993,,,TRUE
117,38U,Unknown,N-ACETYLPUTRESCINE_pos_1,Quantifiers,(No IS),,N/A,1.75,5.06E+06,N/A,2,0.25,TRUE,<2 points,N/A,131.1,,,TRUE
118,38U,Unknown,N-ACETYLGLUTAMATE_pos_2,Quantifiers,(No IS),,N/A,2.38,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,190.1,,,TRUE
119,38U,Unknown,PANTOTHENATE_pos_1,Quantifiers,(No IS),,N/A,5.98,3.54E+05,N/A,5.76,0.22,TRUE,<2 points,N/A,220.1,,,TRUE
120,38U,Unknown,2-AMINOISOBUTYRATE_pos_1,Quantifiers,(No IS),,N/A,2.11,6.74E+06,N/A,2.07,0.04,TRUE,<2 points,N/A,104.1,,,TRUE
121,38U,Unknown,THIAMINE PYROPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,12.47,3.95E+02,N/A,12.5,0.03,TRUE,<2 points,N/A,425,,,TRUE
122,38U,Unknown,HISTIDINOL_pos_2,Quantifiers,(No IS),,N/A,9,1.74E+04,N/A,8.92,0.08,TRUE,<2 points,N/A,142.1,,,TRUE
123,38U,Unknown,ADENOSINE_pos_1,Quantifiers,(No IS),,N/A,3.58,3.86E+05,N/A,3.44,0.14,TRUE,<2 points,N/A,268.1,,,TRUE
124,38U,Unknown,3-HYDROXYBUTANOATE_pos_1,Quantifiers,(No IS),,N/A,4.39,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,105,,,TRUE
125,38U,Unknown,4-IMIDAZOLEACETATE_pos_1,Quantifiers,(No IS),,N/A,1.77,8.91E+06,N/A,2,0.23,TRUE,<2 points,N/A,127.1,,,TRUE
126,38U,Unknown,CIS-4-HYDROXY-D-PROLINE_pos_2,Quantifiers,(No IS),,N/A,1.76,4.72E+04,N/A,1.76,0,TRUE,<2 points,N/A,132.1,,,TRUE
127,38U,Unknown,NADPH_pos_1,Quantifiers,(No IS),,N/A,10.12,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,746.1,,,TRUE
128,38U,Unknown,3-METHYLHISTAMINE_pos_2,Quantifiers,(No IS),,N/A,1.75,4.93E+05,N/A,1.73,0.02,TRUE,<2 points,N/A,126.1,,,TRUE
129,38U,Unknown,CHOLINE_pos_1,Quantifiers,(No IS),,N/A,2.11,3.71E+06,N/A,1.95,0.16,TRUE,<2 points,N/A,105.1,,,TRUE
130,38U,Unknown,5-HYDROXYTRYPTOPHAN_pos_1,Quantifiers,(No IS),,N/A,12.96,3.54E+06,N/A,12.82,0.14,TRUE,<2 points,N/A,221.1,,,TRUE
131,38U,Unknown,SPERMIDINE_pos_2,Quantifiers,(No IS),,N/A,1.53,8.86E+04,N/A,1.7,0.17,TRUE,<2 points,N/A,146.1,,,TRUE
132,38U,Unknown,SPERMIDINE_pos_4,Quantifiers,(No IS),,N/A,3.18,4.16E+06,N/A,3.05,0.13,TRUE,<2 points,N/A,146.1,,,TRUE
133,38U,Unknown,CYSTEAMINE_pos_1,Quantifiers,(No IS),,N/A,1.8,1.80E+05,N/A,1.98,0.18,TRUE,<2 points,N/A,78,,,TRUE
134,38U,Unknown,CADAVERINE_pos_1,Quantifiers,(No IS),,N/A,1.76,3.74E+04,N/A,1.73,0.03,TRUE,<2 points,N/A,103.1,,,TRUE
135,38U,Unknown,COENZYME A_pos_1,Quantifiers,(No IS),,N/A,3.29,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,768.1,,,TRUE
136,38U,Unknown,"2,3-BUTANEDIOL_pos_1",Quantifiers,(No IS),,N/A,8.95,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,91,,,TRUE
137,38U,Unknown,DEOXYADENOSINE TRIPHOSPHATE_pos_1,Quantifiers,(No IS),,N/A,2.84,9.07E+02,N/A,2.73,0.11,TRUE,<2 points,N/A,492,,,TRUE
138,38U,Unknown,CYANOCOBALAMIN_+2_pos_3,Quantifiers,(No IS),,N/A,14.8,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,678.2,,,TRUE
139,38U,Unknown,URIDINE 5,Quantifiers,(No IS),,N/A,13.97,1.03E+03,N/A,13.89,0.08,TRUE,<2 points,N/A,405,,,TRUE
140,38U,Unknown,GLUCOSE 1-PHOSPHATE_pos_2,Quantifiers,(No IS),,N/A,1.77,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,261,,,TRUE
141,38U,Unknown,CITRACONIC ACID_pos_1,Quantifiers,(No IS),,N/A,1.75,1.21E+06,N/A,1.99,0.24,TRUE,<2 points,N/A,131.1,,,TRUE
142,38U,Unknown,DEOXYINOSINE_pos_2,Quantifiers,(No IS),,N/A,2.02,2.31E+04,N/A,2.09,0.07,TRUE,<2 points,N/A,253.1,,,TRUE
143,38U,Unknown,DIMETHYLGLYCINE_pos_1,Quantifiers,(No IS),,N/A,2.1,1.25E+07,N/A,2.05,0.05,TRUE,<2 points,N/A,104,,,TRUE
144,38U,Unknown,INDOLE-3-CARBOXYLIC ACID_pos_3,Quantifiers,(No IS),,N/A,2.04,3.84E+05,N/A,2.19,0.15,TRUE,<2 points,N/A,162.1,,,TRUE
145,38U,Unknown,INDOLEACRYLIC ACID_pos_1,Quantifiers,(No IS),,N/A,8.96,1.66E+05,N/A,8.72,0.24,TRUE,<2 points,N/A,188.1,,,TRUE
146,38U,Unknown,MESACONIC ACID_pos_1,Quantifiers,(No IS),,N/A,1.75,8.66E+06,N/A,1.99,0.24,TRUE,<2 points,N/A,131,,,TRUE
147,38U,Unknown,METHIONINE SULFOXIDE_pos_1,Quantifiers,(No IS),,N/A,1.84,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,166.1,,,TRUE
148,38U,Unknown,5-METHOXYTRYPTOPHAN_pos_2,Quantifiers,(No IS),,N/A,1.54,3.92E+04,N/A,1.49,0.05,TRUE,<2 points,N/A,235.1,,,TRUE
149,38U,Unknown,METHYLCYSTEINE_pos_2,Quantifiers,(No IS),,N/A,2.75,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,136,,,TRUE
150,38U,Unknown,TETRADECANEDIOIC ACID_pos_1,Quantifiers,(No IS),,N/A,2.43,4.98E+05,N/A,2.56,0.13,TRUE,<2 points,N/A,259.1,,,TRUE
151,38U,Unknown,UREA_pos_1,Quantifiers,(No IS),,N/A,1.84,4.15E+07,N/A,1.78,0.06,TRUE,<2 points,N/A,60.9,,,TRUE
152,38U,Unknown,ACADESINE_pos_2,Quantifiers,(No IS),,N/A,2.74,2.84E+05,N/A,2.6,0.14,TRUE,<2 points,N/A,259.1,,,TRUE
