Watchlist Scanner

Results
Symbol,Description,Market Cap,Last,Net Chng,%Change,Volume,Bid,Ask,EPS,Free Cash Flow Per Share - Current (Annual),Vol Index
TOL,TOLL BROS INC COM,"6,457 M",54.01,-.80,-1.46%,"1,460,116",40.51,54.11,6.63,$6.62,56.47%
SWKS,SKYWORKS SOLUTIONS INC COM,"21,834 M",133.13,-7.73,-5.49%,"2,574,644",132.00,133.13,8.32,$6.57,50.70%
LIN,LINDE PLC COM,"151,065 M",294.73,-14.12,-4.57%,"2,209,713",290.00,294.82,7.33,$6.55,36.11%
BBY,BEST BUY CO INC COM,"24,193 M",100.57,+.10,+0.10%,"3,466,953",75.43,101.00,10.33,$6.51,60.10%
NDSN,NORDSON CORP COM,"12,668 M",217.71,-13.29,-5.75%,"1,432,735",207.31,229.79,7.74,$6.49,41.17%
CVX,CHEVRON CORPORATION COM,"267,582 M",138.81,+2.77,+2.04%,"12,821,226",139.30,139.47,8.14,$6.46,33.41%
FRC,FIRST REPUBLIC BANK SAN FRANCI COM,"30,911 M",172.41,-4.19,-2.37%,"1,365,388",144.88,222.50,7.26,$6.42,40.56%
KBH,KB HOME COM,"3,404 M",38.58,-.20,-0.52%,"1,434,916",38.60,47.00,6.01,$6.39,46.80%
DISH,DISH NETWORK CORPORATION COM CL A,"16,541 M",31.28,-.65,-2.04%,"1,702,517",30.00,31.66,4.18,$6.07,60.93%
COP,CONOCOPHILLIPS COM,"121,786 M",93.52,+2.07,+2.26%,"9,580,809",93.44,120.00,6.07,$6.06,44.66%
JEF,JEFFERIES FINANCIAL GROUP INC COM,"9,089 M",37.58,-.47,-1.24%,"1,476,513",36.95,39.68,6.13,$6.04,38.14%
NRG,NRG ENERGY INC COM,"9,718 M",39.69,-.44,-1.10%,"2,624,456",36.43,39.95,9.97,$5.95,36.96%
KEYS,KEYSIGHT TECHNOLOGIES INC COM,"30,163 M",165.04,-4.19,-2.48%,"1,356,945",129.00,215.00,4.78,$5.95,42.28%
HD,HOME DEPOT INC COM,"365,787 M",350.29,-4.80,-1.35%,"3,308,671",350.30,351.30,14.97,$5.87,39.52%
ISRG,INTUITIVE SURGICAL INC COM,"101,299 M",283.16,-9.33,-3.19%,"2,267,399",282.00,283.30,4.66,$5.75,41.09%
AMAT,APPLIED MATERIALS INC COM,"117,650 M",132.49,-7.28,-5.21%,"9,473,100",132.00,132.48,6.4,$5.75,58.12%
EFX,EQUIFAX INC COM,"27,473 M",225.00,-6.17,-2.67%,"1,580,055",112.83,330.00,6.02,$5.68,42.22%
BAH,BOOZ ALLEN HAMILTON HLDG CORP COM CL A,"9,949 M",74.66,-.18,-0.24%,"1,459,652",56.00,75.55,4.2,$5.65,38.11%
DOW,DOW INC COM,"44,947 M",61.09,+.14,+0.23%,"6,042,091",61.00,61.09,8.38,$5.59,35.48%
CAT,CATERPILLAR INC COM,"108,859 M",201.24,-1.83,-0.90%,"3,826,746",201.04,201.59,11.83,$5.54,37.17%
WAL,WESTERN ALLIANCE BANCORP COM,"10,347 M",97.06,-1.68,-1.70%,"1,196,028",95.01,97.00,8.67,$5.54,47.96%
MSI,MOTOROLA SOLUTIONS INC COM,"36,482 M",216.00,-5.86,-2.64%,"1,839,738",210.00,224.50,7.17,$5.52,36.31%
PYPL,PAYPAL HOLDINGS INC COM,"134,313 M",115.29,-3.73,-3.13%,"24,624,884",114.80,114.98,3.52,$5.51,54.89%
TER,TERADYNE INC COM,"18,434 M",113.09,-4.24,-3.61%,"1,703,153",112.55,114.06,5.56,$5.48,50.69%
MT,ARCELORMITTAL ADR SPONSORED,"27,971 M",30.69,-2.51,-7.56%,"9,070,977",28.00,30.83,10.58,$5.46,54.96%
NTRS,NORTHERN TRUST CORP COM,"25,578 M",123.11,-2.09,-1.67%,"1,220,559",120.52,124.04,7.14,$5.46,39.85%
BHP,BHP GROUP LTD ADR SPONSORED,"174,422 M",68.91,-1.03,-1.47%,"5,308,144",68.50,69.11,4.46,$5.41,40.99%
IBM,INTERNATIONAL BUS MACH CORP COM,"118,996 M",132.69,-.83,-0.62%,"4,176,155",132.62,132.69,6.35,$5.41,29.42%
PHG,KONINKLIJKE PHILIPS NV ADR SPONSORED,"29,290 M",33.66,-.29,-0.85%,"1,567,479",33.60,34.70,4.133,$5.40,45.39%
NCR,NCR CORP COM,"5,552 M",42.00,-.51,-1.20%,"2,083,693",38.53,45.00,.58,$5.40,47.14%
SHEL,SHELL PLC ADR SPONSORED,"84,382 M",55.21,+.69,+1.27%,"4,016,099",55.14,55.72,12.85,$5.36,50.75%
MSFT,MICROSOFT CORP COM,"2,211,875 M",295.04,-7.34,-2.43%,"39,175,620",294.25,294.55,9.39,$5.33,38.14%
MMC,MARSH & MCLENNAN COMPANIES INC COM,"76,714 M",152.21,-1.30,-0.85%,"2,862,947",112.30,199.99,6.13,$5.32,26.94%
QCOM,QUALCOMM INC COM,"185,549 M",164.64,-9.43,-5.42%,"13,572,008",164.70,165.00,8.73,$5.31,52.04%
XPO,XPO LOGISTICS INC COM,"7,652 M",66.71,-2.03,-2.95%,"1,500,482",50.03,67.50,2.93,$5.24,48.06%
ASO,ACADEMY SPORTS & OUTDOORS INC COM,"3,231 M",36.49,-1.39,-3.67%,"2,247,190",36.50,36.95,6.52,$5.16,63.42%
CFG,CITIZENS FINL GROUP INC COM,"22,994 M",54.47,-.53,-0.96%,"4,407,142",52.00,54.38,5.16,$5.14,34.60%
FBHS,FORTUNE BRANDS HOME & SECURITY COM,"12,053 M",88.80,-.82,-0.91%,"1,218,447",82.80,115.20,5.54,$5.08,42.75%
HPQ,HP INCORPORATION COM,"40,418 M",37.33,-.78,-2.05%,"6,820,427",34.50,38.19,5.33,$5.03,48.27%
AAPL,APPLE INC COM,"2,752,111 M",168.64,-3.48,-2.02%,"98,670,687",168.19,168.24,6.03,$4.95,35.13%
ALK,ALASKA AIR GROUP INC COM,"7,156 M",56.84,-1.78,-3.04%,"2,248,381",56.51,57.10,3.77,$4.89,44.13%
BBWI,BATH & BODY WORKS INC COM,"13,999 M",57.35,-3.40,-5.60%,"3,846,159",55.00,57.49,5.73,$4.81,64.72%
CHRW,CH ROBINSON WORLDWIDE INC COM,"11,634 M",89.50,-.83,-0.92%,"1,541,188",87.82,91.38,6.31,$4.81,31.22%
TXT,TEXTRON INC COM,"15,366 M",69.71,-.91,-1.29%,"2,075,624",69.48,72.20,3.4,$4.74,42.14%
UNP,UNION PACIFIC CORP COM,"152,098 M",238.81,-3.31,-1.37%,"2,379,131",237.52,239.89,9.95,$4.72,31.59%
WRK,WESTROCK CO COM,"12,229 M",46.46,-.21,-0.45%,"1,915,197",39.80,46.77,3.24,$4.69,51.00%
TEL,TE CONNECTIVITY LTD COM,"46,704 M",143.45,-3.93,-2.67%,"1,660,376",134.59,170.00,7.37,$4.60,36.69%
EL,ESTEE LAUDER COMPANIES INC COM CL A,"107,876 M",300.77,-14.84,-4.70%,"1,982,120",225.58,343.94,8.85,$4.58,39.07%
IQV,IQVIA HOLDINGS INC COM,"46,667 M",244.28,-6.15,-2.46%,"1,398,155",175.00,270.00,3.93,$4.53,39.90%
IIVI,II-VI INC COM,"7,096 M",66.73,-1.62,-2.37%,"1,608,387",65.70,68.00,2.49,$4.44,50.25%
BA,BOEING CO COM,"123,771 M",212.30,-6.45,-2.95%,"11,443,738",210.53,212.40,-7.15,$4.39,45.04%
AVYA,AVAYA HOLDINGS CORP COM,"1,255 M",14.78,-.94,-5.98%,"2,102,968",14.10,14.88,-.2,$4.33,63.50%
NAVI,NAVIENT CORP COM,"2,847 M",18.49,-.40,-2.12%,"1,439,788",17.86,19.13,4.18,$4.26,58.89%
SSNC,SS&C TECHNOLOGIES HOLDINGS INC COM,"19,431 M",76.42,-4.07,-5.06%,"3,260,583",74.00,82.35,2.79,$4.23,34.19%
MAR,MARRIOTT INTERNATIONAL INC COM CL A,"55,327 M",169.88,-4.80,-2.75%,"2,819,319",169.52,170.48,1.42,$4.22,45.57%
GSL,GLOBAL SHIP LEASE INC COM CL A,982 M,27.11,-1.26,-4.44%,"1,319,701",18.00,26.99,2.432,$4.22,65.78%
WDAY,WORKDAY INC COM CL A,"58,193 M",232.77,-6.87,-2.87%,"1,407,668",230.01,246.34,.1,$4.20,54.73%
CTSH,COGNIZANT TECHNOLO COM CL A,"45,875 M",87.34,-2.91,-3.22%,"3,480,464",86.65,87.34,4.05,$4.16,31.24%
ATVI,ACTIVISION BLIZZARD INC COM,"63,493 M",81.50,+.05,+0.06%,"6,970,953",81.24,81.74,3.44,$4.14,21.37%
WMT,WALMART INC COM,"375,389 M",135.33,-.75,-0.55%,"7,911,135",135.11,135.40,2.86,$4.12,31.09%
LX,LEXINFINTECH HOLDINGS LTD ADR,691 M,3.78,+.02,+0.53%,"2,448,661",3.72,3.76,1.981,$4.10,82.13%
ADSK,AUTODESK INC COM,"49,963 M",227.13,-11.39,-4.78%,"1,865,129",226.16,229.84,5.93,$4.05,63.58%
ETSY,ETSY INC COM,"17,974 M",141.77,-1.26,-0.88%,"2,131,351",140.00,141.65,3.4,$4.05,88.99%
ICE,INTERCONTINENTAL EXCHANGE INC COM,"70,754 M",125.93,-.79,-0.62%,"3,018,441",122.00,126.78,7.18,$4.04,28.85%
TSLA,TESLA INC COM,"888,817 M",860.00,-44.55,-4.93%,"26,548,623",856.40,856.90,4.9,$3.95,64.73%
SNV,SYNOVUS FINANCIAL CORP COM,"7,638 M",52.67,-.22,-0.42%,"1,319,739",51.00,54.76,4.9,$3.84,37.67%
APTV,APTIV PLC COM,"36,249 M",134.00,-1.92,-1.41%,"1,961,044",132.00,177.80,1.94,$3.80,45.77%
A,AGILENT TECHNOLOGIES INC COM,"41,210 M",137.20,-4.46,-3.15%,"1,321,937",102.90,139.10,3.94,$3.79,40.48%
FNF,FIDELITY NATIONAL FINANCIAL COM,"13,828 M",48.60,-.70,-1.42%,"4,091,385",48.35,49.10,9.34,$3.77,36.60%
HDB,HDFC BANK LTD ADR SPONSORED,"123,004 M",66.57,-1.00,-1.48%,"1,982,513",65.00,83.21,2.411,$3.75,33.28%
HAE,HAEMONETICS CORP COM,"2,988 M",58.47,+.47,+0.81%,"1,274,212",57.60,62.67,.43,$3.74,58.78%
BMY,BRISTOL-MYERS SQUIBB CO COM,"145,779 M",66.88,+.37,+0.56%,"15,613,389",65.94,66.88,3.12,$3.65,28.24%
ORCL,ORACLE CORP COM,"212,968 M",79.75,-2.10,-2.57%,"7,670,453",79.75,82.50,3.45,$3.65,44.07%
AGNC,AGNC INVESTMENT CORP COM,"7,337 M",14.05,-.21,-1.47%,"12,268,901",14.06,14.07,1.22,$3.64,30.45%
MCD,MCDONALD'S CORPORATION COM,"190,667 M",255.16,-1.71,-0.67%,"3,592,716",253.50,255.15,10.04,$3.63,25.78%
CAH,CARDINAL HEALTH INC COM,"14,560 M",52.55,-.26,-0.49%,"2,884,152",51.00,64.98,1.93,$3.60,29.60%
ZM,ZOOM VIDEO COMMUNICATIONS INC COM CL A,"42,089 M",141.24,-4.48,-3.07%,"2,690,370",140.00,142.35,3.76,$3.59,92.23%
EXPD,EXPEDTRS INTL WASH COM,"18,163 M",107.22,-2.62,-2.39%,"1,344,131",106.00,108.13,6.76,$3.59,41.63%
NMR,NOMURA HOLDINGS INC ADR SPONSORED,"14,114 M",4.68,-.10,-2.09%,"1,262,243",3.88,5.48,-.1262,$3.59,21.53%
CMCSA,COMCAST CORP COM CL A,"215,872 M",47.62,-1.30,-2.66%,"26,312,634",47.62,47.80,3.04,$3.50,33.58%
SFM,SPROUTS FARMERS MARKETS INC COM,"3,322 M",29.59,+.87,+3.03%,"1,345,795",28.78,29.99,2.35,$3.49,59.42%
MUR,MURPHY OIL CORP COM,"5,326 M",34.48,+2.72,+8.56%,"2,679,926",33.30,43.10,-.48,$3.49,64.60%
LLY,ELI LILLY AND COMPANY COM,"225,507 M",235.74,-3.90,-1.63%,"2,054,452",232.24,236.00,5.835,$3.48,31.72%
TPR,TAPESTRY INC COM,"10,343 M",39.18,-1.54,-3.78%,"4,801,163",38.65,39.14,2.95,$3.45,48.49%
PWR,QUANTA SERVICES COM,"14,237 M",99.91,-2.96,-2.88%,"1,394,849",94.51,100.10,3.81,$3.44,44.48%
ATUS,ALTICE USA INC COM CL A,"6,729 M",14.80,-.03,-0.20%,"3,602,598",14.00,15.00,2.16,$3.43,72.56%
ADM,ARCHER-DANIELS-MIDLAND CO COM,"42,789 M",76.47,+.03,+0.04%,"2,563,798",74.00,98.30,4.79,$3.42,29.79%
ADI,ANALOG DEVICES INC COM,"80,848 M",153.90,-7.77,-4.81%,"5,455,499",152.19,154.20,3.46,$3.41,45.44%
HZNP,HORIZON THERAPEUTICS PLC COM,"21,922 M",96.65,-.41,-0.42%,"2,316,187",86.55,99.98,2.4,$3.40,51.27%
GDDY,GODADDY INC COM CL A,"13,452 M",80.60,+6.39,+8.61%,"5,290,860",80.00,81.44,1.42,$3.38,48.09%
WAB,WABTEC CORP COM,"16,407 M",87.82,-2.06,-2.29%,"1,270,792",83.00,88.17,2.41,$3.29,42.62%
AMD,ADVANCED MICRO DEVICES INC COM,"135,737 M",113.18,-12.59,-10.01%,"164,723,240",112.33,112.40,2.57,$3.25,67.51%
MAS,MASCO CORP COM,"13,851 M",57.73,-.54,-0.93%,"2,425,345",43.30,58.70,1.62,$3.25,35.51%
HON,HONEYWELL INTERNATIONAL INC COM,"128,728 M",186.99,-4.76,-2.48%,"5,323,489",186.90,187.79,7.91,$3.18,32.01%
WM,WASTE MANAGEMENT INC COM,"59,669 M",142.64,-1.18,-0.82%,"2,289,251",106.98,172.00,4.29,$3.16,26.53%
ON,ON SEMICONDUCTOR CORP COM,"25,406 M",58.97,-4.45,-7.02%,"12,377,872",58.94,59.09,2.27,$3.15,65.64%
LUV,SOUTHWEST AIRLINES CO COM,"26,969 M",45.53,-1.00,-2.15%,"8,422,237",44.75,45.53,1.61,$3.14,46.16%
ORI,OLD REPUBLIC INTL CORP COM,"8,117 M",26.44,+.18,+0.69%,"2,093,162",24.90,26.90,5.05,$3.13,29.31%
FOXA,FOX CORP COM CL A,"24,430 M",43.40,-.60,-1.36%,"4,354,075",42.68,43.84,2.47,$3.10,35.04%
HPE,HEWLETT PACKARD ENTERPRISE CO COM,"22,247 M",17.20,-.15,-0.86%,"8,804,607",16.75,17.60,2.58,$3.09,41.62%
BLDR,BUILDERS FIRSTSOURCE INC COM,"13,095 M",68.38,-.65,-0.94%,"1,947,519",67.00,71.17,7.36,$3.06,64.84%
PECO,PHILLIPS EDISON & CO INC COM USD0.01,"3,619 M",31.90,+.36,+1.14%,"1,979,849",28.00,32.95,.11,$3.05,50.46%
FCX,FREEPORT-MCMORAN INC COM CL B,"62,851 M",42.80,-1.11,-2.53%,"23,462,760",42.75,43.04,2.9,$3.05,57.46%
NEM,NEWMONT CORPORATION COM,"50,924 M",63.86,+3.33,+5.50%,"9,796,219",63.75,63.86,2.53,$3.04,41.59%
BEN,FRANKLIN RESOURCES INC COM,"15,380 M",30.63,-.76,-2.42%,"2,798,325",30.40,30.85,3.78,$3.04,39.24%
HES,HESS CORPORATION COM,"29,796 M",96.20,+3.80,+4.11%,"2,809,702",96.35,96.51,1.805,$3.02,51.45%
WDC,WESTERN DIGITAL CORP COM,"16,813 M",53.73,-.36,-0.67%,"4,462,109",53.21,54.37,6.38,$3.00,49.77%
AJRD,AEROJET ROCKETDYNE HLDGS INC COM,"3,146 M",39.08,+1.05,+2.76%,"1,563,022",37.88,49.05,1.72,$3.00,52.87%
RLGY,REALOGY HLDGS CORP COM,"2,029 M",17.40,+.46,+2.72%,"1,754,475",15.50,17.40,2.61,$2.99,77.75%
KNX,KNIGHT SWIFT TRANSN HLDGS INC COM CL A,"9,182 M",55.33,-.32,-0.58%,"1,286,277",52.00,56.75,4.45,$2.98,35.20%
BJ,BJS WHSL CLUB HLDGS INC COM,"8,670 M",63.77,+1.61,+2.59%,"1,374,557",50.25,65.00,3,$2.96,54.10%
CDNS,CADENCE DESIGN SYSTEMS INC COM,"39,493 M",142.50,-6.37,-4.28%,"1,548,272",133.00,144.63,2.48,$2.94,62.71%
YUM,YUM BRANDS INC COM,"35,278 M",122.07,-2.08,-1.68%,"2,929,378",119.80,123.82,5.21,$2.92,31.29%
XLNX,XILINX INC COM,"48,415 M",194.92,-21.63,-9.99%,"25,521,308",193.00,194.92,3.72,$2.91,71.28%
AU,ANGLOGOLD ASHANTI LTD ADR SPONSORED,"8,560 M",20.51,+1.14,+5.89%,"3,842,736",20.41,20.74,2.13,$2.91,54.23%
ENDP,ENDO INTERNATIONAL PLC COM,748 M,3.20,-.15,-4.48%,"4,456,665",3.20,3.22,.29,$2.89,98.66%
INVA,INNOVIVA INC COM,"1,338 M",19.25,+1.25,+6.94%,"2,997,966",19.30,19.39,2.87,$2.88,41.23%
ZTS,ZOETIS INC COM CL A,"94,091 M",198.87,-.50,-0.25%,"3,714,712",195.00,202.50,4.15,$2.88,33.29%
RIO,RIO TINTO ADR SPONSORED,"125,976 M",77.79,-1.17,-1.48%,"4,193,800",77.69,78.49,11.52,$2.80,44.43%
SCHW,SCHWAB (CHARLES) CORP COM,"168,471 M",89.11,-3.74,-4.03%,"12,520,333",88.23,89.11,2.83,$2.78,38.58%
FITB,FIFTH THIRD BANCORP COM,"33,142 M",48.54,-.58,-1.18%,"5,815,309",48.50,48.85,3.73,$2.76,36.12%
TRMB,TRIMBLE INC COM,"16,672 M",66.42,-2.11,-3.08%,"2,170,982",65.50,68.99,1.94,$2.74,52.05%
MCHP,MICROCHIP TECHNOLOGY COM,"39,659 M",71.33,-3.60,-4.80%,"5,801,608",71.13,71.75,1.705,$2.70,51.50%
BP,BP ADR SPONSORED,"108,718 M",33.23,+.17,+0.51%,"29,645,929",33.31,33.47,2.24,$2.70,40.59%
CERN,CERNER CORP COM,"26,943 M",91.97,-.23,-0.25%,"2,361,021",91.31,91.95,1.7,$2.69,6.27%
IAA,IAA INC COM,"4,810 M",35.67,-10.15,-22.15%,"7,758,578",34.45,35.70,2.1,$2.67,64.37%
PG,PROCTER & GAMBLE CO COM,"374,637 M",156.29,-.88,-0.56%,"9,341,436",152.00,156.29,5.67,$2.67,24.60%
